x,y,H,D,r_b
0,0,100,4,0.075
3,0,100,4,0.075
6,0,100,4,0.075
9,0,100,4,0.075
12,0,100,4,0.075
15,0,100,4,0.075
18,0,100,4,0.075
21,0,100,4,0.075
24,0,100,4,0.075
27,0,100,4,0.075
1.5,2.59807621135332,100,4,0.075
4.5,2.59807621135332,100,4,0.075
7.5,2.59807621135332,100,4,0.075
10.5,2.59807621135332,100,4,0.075
13.5,2.59807621135332,100,4,0.075
16.5,2.59807621135332,100,4,0.075
19.5,2.59807621135332,100,4,0.075
22.5,2.59807621135332,100,4,0.075
25.5,2.59807621135332,100,4,0.075
28.5,2.59807621135332,100,4,0.075
0,5.19615242270663,100,4,0.075
3,5.19615242270663,100,4,0.075
6,5.19615242270663,100,4,0.075
9,5.19615242270663,100,4,0.075
12,5.19615242270663,100,4,0.075
15,5.19615242270663,100,4,0.075
18,5.19615242270663,100,4,0.075
21,5.19615242270663,100,4,0.075
24,5.19615242270663,100,4,0.075
27,5.19615242270663,100,4,0.075
1.5,7.79422863405995,100,4,0.075
4.5,7.79422863405995,100,4,0.075
7.5,7.79422863405995,100,4,0.075
10.5,7.79422863405995,100,4,0.075
13.5,7.79422863405995,100,4,0.075
16.5,7.79422863405995,100,4,0.075
19.5,7.79422863405995,100,4,0.075
22.5,7.79422863405995,100,4,0.075
25.5,7.79422863405995,100,4,0.075
28.5,7.79422863405995,100,4,0.075
0,10.3923048454133,100,4,0.075
3,10.3923048454133,100,4,0.075
6,10.3923048454133,100,4,0.075
9,10.3923048454133,100,4,0.075
12,10.3923048454133,100,4,0.075
15,10.3923048454133,100,4,0.075
18,10.3923048454133,100,4,0.075
21,10.3923048454133,100,4,0.075
24,10.3923048454133,100,4,0.075
27,10.3923048454133,100,4,0.075
1.5,12.9903810567666,100,4,0.075
4.5,12.9903810567666,100,4,0.075
7.5,12.9903810567666,100,4,0.075
10.5,12.9903810567666,100,4,0.075
13.5,12.9903810567666,100,4,0.075
16.5,12.9903810567666,100,4,0.075
19.5,12.9903810567666,100,4,0.075
22.5,12.9903810567666,100,4,0.075
25.5,12.9903810567666,100,4,0.075
28.5,12.9903810567666,100,4,0.075
0,15.5884572681199,100,4,0.075
3,15.5884572681199,100,4,0.075
6,15.5884572681199,100,4,0.075
9,15.5884572681199,100,4,0.075
12,15.5884572681199,100,4,0.075
15,15.5884572681199,100,4,0.075
18,15.5884572681199,100,4,0.075
21,15.5884572681199,100,4,0.075
24,15.5884572681199,100,4,0.075
27,15.5884572681199,100,4,0.075
1.5,18.1865334794732,100,4,0.075
4.5,18.1865334794732,100,4,0.075
7.5,18.1865334794732,100,4,0.075
10.5,18.1865334794732,100,4,0.075
13.5,18.1865334794732,100,4,0.075
16.5,18.1865334794732,100,4,0.075
19.5,18.1865334794732,100,4,0.075
22.5,18.1865334794732,100,4,0.075
25.5,18.1865334794732,100,4,0.075
28.5,18.1865334794732,100,4,0.075
0,20.7846096908265,100,4,0.075
3,20.7846096908265,100,4,0.075
6,20.7846096908265,100,4,0.075
9,20.7846096908265,100,4,0.075
12,20.7846096908265,100,4,0.075
15,20.7846096908265,100,4,0.075
18,20.7846096908265,100,4,0.075
21,20.7846096908265,100,4,0.075
24,20.7846096908265,100,4,0.075
27,20.7846096908265,100,4,0.075
